sgRNA	Gene	t0	iPSC_t10_1	iPSC_t10_2
AADACL2_+_151451732.23-P1P2_h1_Top5	AADACL2	10.0	190.0	145.0
AADACL2_+_151451926.23-P1P2_h1_Top5	AADACL2	4135.0	9454.0	9872.0
AADACL2_+_151452121.23-P1P2_h1_Top5	AADACL2	4400.0	11660.0	12297.0
AADACL2_-_151451828.23-P1P2_h1_Top5	AADACL2	4322.0	10205.0	11542.0
AADACL2_-_151451961.23-P1P2_h1_Top5	AADACL2	1829.0	4774.0	5473.0
AADAT_+_171010904.23-P1P2_h1_Top5	AADAT	2313.0	5796.0	5213.0
AADAT_+_171010929.23-P1P2_h1_Top5	AADAT	1139.0	2492.0	1831.0
AADAT_+_171011392.23-P1P2_h1_Top5	AADAT	1598.0	3371.0	3579.0
AADAT_-_171011321.23-P1P2_h1_Top5	AADAT	1546.0	4755.0	4945.0
AADAT_-_171011368.23-P1P2_h1_Top5	AADAT	1213.0	4390.0	3553.0
AAK1_+_69870290.23-P1P2_h1_Top5	AAK1	792.0	1327.0	1174.0
AAK1_+_69870701.23-P1P2_h1_Top5	AAK1	1000.0	1996.0	2177.0
AAK1_-_69870541.23-P1P2_h1_Top5	AAK1	714.0	1330.0	1100.0
AAK1_-_69870791.23-P1P2_h1_Top5	AAK1	2276.0	3972.0	3849.0
AAK1_-_69870794.23-P1P2_h1_Top5	AAK1	579.0	471.0	594.0
AANAT_+_74463718.23-P1P2_h1_Top5	AANAT	2192.0	5933.0	4855.0
AANAT_+_74463735.23-P1P2_h1_Top5	AANAT	3230.0	8008.0	8250.0
AANAT_+_74464088.23-P1P2_h1_Top5	AANAT	1851.0	3450.0	3031.0
AANAT_-_74464175.23-P1P2_h1_Top5	AANAT	1440.0	3768.0	3871.0
AANAT_-_74464185.23-P1P2_h1_Top5	AANAT	2958.0	6390.0	6006.0
AARS2_+_44280650.23-P1P2_h1_Top5	AARS2	2683.0	3590.0	4080.0
AARS2_+_44281006.23-P1P2_h1_Top5	AARS2	1467.0	417.0	510.0
AARS2_+_44281027.23-P1P2_h1_Top5	AARS2	630.0	21.0	34.0
AARS2_+_44281044.23-P1P2_h1_Top5	AARS2	494.0	418.0	568.0
AARS2_+_44281056.23-P1P2_h1_Top5	AARS2	1263.0	39.0	185.0
AARS_+_70323318.23-P1P2_h1_Top5	AARS	155.0	256.0	549.0
AARS_+_70323322.23-P1P2_h1_Top5	AARS	209.0	427.0	342.0
AARS_+_70323362.23-P1P2_h1_Top5	AARS	18.0	204.0	126.0
AARS_-_70323332.23-P1P2_h1_Top5	AARS	171.0	354.0	442.0
AASS_+_121784000.23-P1P2_h1_Top5	AASS	616.0	1194.0	1519.0
AASS_+_121784219.23-P1P2_h1_Top5	AASS	1655.0	3116.0	3790.0
AASS_+_121784247.23-P1P2_h1_Top5	AASS	1574.0	2652.0	2965.0
AASS_-_121784277.23-P1P2_h1_Top5	AASS	2711.0	6398.0	7868.0
AASS_-_121784328.23-P1P2_h1_Top5	AASS	2220.0	3882.0	3687.0
AATK_+_79139571.23-ENST00000326724.4_h1_Top5	AATK_ENST00000326724.4	1106.0	2625.0	3314.0
AATK_+_79139589.23-ENST00000326724.4_h1_Top5	AATK_ENST00000326724.4	2248.0	6000.0	6042.0
AATK_+_79139592.23-ENST00000326724.4_h1_Top5	AATK_ENST00000326724.4	1603.0	4095.0	4265.0
AATK_-_79139586.23-ENST00000326724.4_h1_Top5	AATK_ENST00000326724.4	1318.0	2559.0	2944.0
AATK_-_79139956.23-ENST00000326724.4_h1_Top5	AATK_ENST00000326724.4	1444.0	1545.0	1080.0
ABAT_+_8768492.23-P1_h1_Top5	ABAT_P1	1048.0	800.0	632.0
ABAT_+_8768682.23-P1_h1_Top5	ABAT_P1	836.0	2160.0	1581.0
ABAT_+_8807445.23-P2_h1_Top5	ABAT_P2	990.0	2317.0	2901.0
ABAT_+_8807450.23-P2_h1_Top5	ABAT_P2	1698.0	3284.0	3349.0
ABAT_+_8807464.23-P2_h1_Top5	ABAT_P2	3807.0	9003.0	10442.0
ABAT_+_8807492.23-P2_h1_Top5	ABAT_P2	1535.0	4073.0	3562.0
ABAT_+_8807696.23-P2_h1_Top5	ABAT_P2	1904.0	4643.0	4712.0
ABAT_-_8768504.23-P1_h1_Top5	ABAT_P1	783.0	1540.0	1196.0
ABAT_-_8768523.23-P1_h1_Top5	ABAT_P1	2123.0	3189.0	4923.0
ABAT_-_8768533.23-P1_h1_Top5	ABAT_P1	732.0	1385.0	1591.0
ABCC2_+_101542515.23-P1P2_h1_Top5	ABCC2	1590.0	4119.0	4252.0
ABCC2_+_101542910.23-P1P2_h1_Top5	ABCC2	2516.0	5928.0	5598.0
ABCC2_+_101542914.23-P1P2_h1_Top5	ABCC2	3556.0	9625.0	10444.0
ABCC2_+_101542981.23-P1P2_h1_Top5	ABCC2	2260.0	5349.0	5684.0
ABCC2_-_101542808.23-P1P2_h1_Top5	ABCC2	85.0	108.0	67.0
ABCC8_+_17497953.23-P1P2_h1_Top5	ABCC8	2145.0	5018.0	4813.0
ABCC8_+_17498387.23-P1P2_h1_Top5	ABCC8	1323.0	3746.0	3329.0
ABCC8_-_17497979.23-P1P2_h1_Top5	ABCC8	2868.0	7513.0	7146.0
ABCC8_-_17497997.23-P1P2_h1_Top5	ABCC8	1919.0	869.0	1037.0
ABCC8_-_17498220.23-P1P2_h1_Top5	ABCC8	1763.0	4240.0	4706.0
ABCC9_+_22093672.23-P1P2_h1_Top5	ABCC9	838.0	1531.0	1616.0
ABCC9_+_22093678.23-P1P2_h1_Top5	ABCC9	1651.0	4091.0	4329.0
ABCC9_+_22093937.23-P1P2_h1_Top5	ABCC9	721.0	1595.0	1605.0
ABCC9_+_22093941.23-P1P2_h1_Top5	ABCC9	276.0	533.0	791.0
ABCC9_+_22094309.23-P1P2_h1_Top5	ABCC9	447.0	268.0	217.0
ABCE1_+_146019317.23-P1P2_h1_Top5	ABCE1	28.0	107.0	159.0
ABCE1_+_146019463.23-P1P2_h1_Top5	ABCE1	43.0	149.0	207.0
ABCE1_+_146019842.23-P1P2_h1_Top5	ABCE1	453.0	543.0	541.0
ABCE1_-_146019502.23-P1P2_h1_Top5	ABCE1	30.0	0.0	0.0
ABCE1_-_146019516.23-P1P2_h1_Top5	ABCE1	229.0	313.0	132.0
ABCG1_+_43639544.23-P1P2_h1_Top5	ABCG1	1631.0	4083.0	3502.0
ABCG1_+_43639681.23-P1P2_h1_Top5	ABCG1	123.0	390.0	585.0
ABCG1_-_43639282.23-P1P2_h1_Top5	ABCG1	1543.0	3720.0	3866.0
ABCG1_-_43639541.23-P1P2_h1_Top5	ABCG1	1736.0	4242.0	4082.0
ABCG1_-_43639626.23-P1P2_h1_Top5	ABCG1	672.0	1583.0	1936.0
ABL1_+_133589617.23-ENST00000372348.2_h1_Top5	ABL1_ENST00000372348.2	1542.0	2923.0	3415.0
ABL1_+_133589629.23-ENST00000372348.2_h1_Top5	ABL1_ENST00000372348.2	1236.0	2751.0	2735.0
ABL1_+_133589636.23-ENST00000372348.2_h1_Top5	ABL1_ENST00000372348.2	1886.0	5233.0	4714.0
ABL1_-_133589228.23-ENST00000372348.2_h1_Top5	ABL1_ENST00000372348.2	2153.0	5813.0	6145.0
ABL1_-_133589268.23-ENST00000372348.2_h1_Top5	ABL1_ENST00000372348.2	2066.0	5734.0	6224.0
ABL2_+_179112168.23-P1_h1_Top5	ABL2_P1	4210.0	8587.0	9583.0
ABL2_+_179112186.23-P1_h1_Top5	ABL2_P1	7483.0	17445.0	18119.0
ABL2_+_179198340.23-P2_h1_Top5	ABL2_P2	1630.0	3910.0	3304.0
ABL2_+_179198398.23-P2_h1_Top5	ABL2_P2	1014.0	2433.0	1940.0
ABL2_+_179198565.23-P2_h1_Top5	ABL2_P2	682.0	2200.0	2136.0
ABL2_+_179198740.23-P2_h1_Top5	ABL2_P2	2032.0	4504.0	6168.0
ABL2_-_179112151.23-P1_h1_Top5	ABL2_P1	3580.0	8076.0	8684.0
ABL2_-_179112154.23-P1_h1_Top5	ABL2_P1	143.0	199.0	178.0
ABL2_-_179112158.23-P1_h1_Top5	ABL2_P1	1510.0	3805.0	4090.0
ABL2_-_179198834.23-P2_h1_Top5	ABL2_P2	719.0	2179.0	2314.0
ABO_+_136150190.23-P1_h1_Top5	ABO_P1	389.0	1053.0	1015.0
ABO_+_136150601.23-P1_h1_Top5	ABO_P1	3015.0	7914.0	8256.0
ABO_-_136130692.23-P2_h1_Top5	ABO_P2	4751.0	11736.0	12386.0
ABO_-_136130921.23-P2_h1_Top5	ABO_P2	2461.0	4887.0	5282.0
ABO_-_136130955.23-P2_h1_Top5	ABO_P2	2090.0	5997.0	5296.0
ABO_-_136130959.23-P2_h1_Top5	ABO_P2	1205.0	2399.0	2606.0
ABO_-_136130966.23-P2_h1_Top5	ABO_P2	1790.0	4458.0	4529.0
ABO_-_136150219.23-P1_h1_Top5	ABO_P1	2691.0	6349.0	6110.0
ABO_-_136150600.23-P1_h1_Top5	ABO_P1	2300.0	4977.0	5348.0
ABO_-_136150606.23-P1_h1_Top5	ABO_P1	3601.0	8089.0	7481.0
ACACA_+_35715534.23-P1P2_h1_Top5	ACACA	1445.0	2432.0	2879.0
ACACA_+_35715655.23-P1P2_h1_Top5	ACACA	808.0	70.0	98.0
ACACA_-_35715847.23-P1P2_h1_Top5	ACACA	348.0	90.0	2.0
ACACA_-_35715992.23-P1P2_h1_Top5	ACACA	518.0	705.0	511.0
