index,epsilon,pvalue,product,gene
PTEN,1.04564,0.000280654300152,3.71393374276,PTEN
TAOK1,0.769436666667,0.000347588392724,2.66143121248,TAOK1
PTP4A2,0.78976,0.00112990798084,2.32738870015,PTP4A2
IBTK_P1,0.731436666667,0.00143206226931,2.08023374592,IBTK
GSK3A,0.678333333333,0.00227084367152,1.79338632374,GSK3A
PLEKHA1,0.71378,0.0039832734214,1.71290060826,PLEKHA1
NUCKS1,0.588063333333,0.00295798050355,1.48721492968,NUCKS1
FARSB,1.284,0.0913755608235,1.33429420876,FARSB
TGFBR2,0.509596666667,0.00320477944323,1.27103695068,TGFBR2
GABRA3,1.10193,0.0729539335096,1.25284073165,GABRA3
ILKAP,0.677976666667,0.0197993587426,1.15483079268,ILKAP
MARK2_P2,0.6874,0.0282114813304,1.06517724272,MARK2
SI,0.392553333333,0.00347020686657,0.965541700363,SI
LPPR2,0.54865,0.0185317479436,0.950307675595,LPPR2
ACVR2B,0.426566666667,0.00596206776922,0.948941525511,ACVR2B
PRKAR2A,0.524103333333,0.0225633437015,0.862986735824,PRKAR2A
LIPF,0.365133333333,0.00447685075744,0.857708198532,LIPF
PTGFR_P2,0.39691,0.00692394813984,0.857185170716,PTGFR
ZMYND8,0.42973,0.0103269653858,0.853455502458,ZMYND8
PTPN12,0.55383,0.0329569207788,0.820805618988,PTPN12
NTC_2480,0.346926666667,0.0051714298811,0.793209439192,NTC
DDX39B,1.62013333333,0.340258176863,0.758532541018,DDX39B
PPP3CC,0.444693333333,0.0201278519669,0.754289974997,PPP3CC
MCFD2_P2,0.65304,0.0710021304785,0.750165737819,MCFD2
CSNK2B,0.276306666667,0.00204803511889,0.742895400942,CSNK2B
CSF2RB,0.745106666667,0.101253746072,0.741074820191,CSF2RB
SCN3A,0.406863333333,0.0167635187521,0.722440699779,SCN3A
NTC_903,0.378663333333,0.0128633514026,0.715918265807,NTC
GGCX,0.49493,0.0361201264859,0.71381315753,GGCX
NTC_310,0.393806666667,0.0158018679294,0.70936062979,NTC
NFS1,0.427223333333,0.0222004432551,0.70647288986,NFS1
NTC_602,0.357316666667,0.0126418351544,0.678254879564,NTC
ATM,0.488983333333,0.0438701137219,0.663956845741,ATM
NTC_2484,0.370063333333,0.0199629008495,0.629024902096,NTC
FTL,0.39366,0.0264851552525,0.620800826774,FTL
CRB2_P2,0.464366666667,0.0465205224757,0.618701443492,CRB2
LATS2,0.759553333333,0.154803645734,0.615404402114,LATS2
PPM1D,0.189233333333,0.000606170899958,0.608840257005,PPM1D
CDKN2D,0.43283,0.0425934529223,0.59326153491,CDKN2D
RPS6KA6,0.679578333333,0.139322158369,0.581705329999,RPS6KA6
NTC_1154,0.45012,0.0511141723712,0.581311375103,NTC
CRYBB1,0.441713333333,0.0500218631388,0.574598432765,CRYBB1
PTGR2,1.01341,0.275955129161,0.566659885427,PTGR2
TMPRSS15,0.351826666667,0.0248508621307,0.564561665282,TMPRSS15
HSD17B11,0.537306666667,0.0925662585012,0.555331849211,HSD17B11
PPIB,0.673016666667,0.153021551256,0.548675087447,PPIB
CLK3_P2,0.428676666667,0.0645052596282,0.510298792696,CLK3
ARF6_P1,0.800636666667,0.232327884536,0.507522511774,ARF6
SERPINB6,0.390096666667,0.0500218631388,0.50745340106,SERPINB6
NTC_859,0.323253333333,0.027121383948,0.506437167781,NTC
NTC_443,0.29723,0.0216654905444,0.494659520819,NTC
NTC_886,0.305976666667,0.0266956899027,0.481472292061,NTC
NRIP1,0.609013333333,0.163951290418,0.478249133373,NRIP1
PFKFB2,0.43244,0.0790741309659,0.4765339921,PFKFB2
NTC_2549,0.346556666667,0.0435477624738,0.471675459822,NTC
AHCY,0.343146666667,0.0458455949166,0.459371261848,AHCY
STK25,0.531376666667,0.139322158369,0.454847696101,STK25
RET_P2,0.612523333333,0.181434292857,0.45405167851,RET
SCN2B,0.36809,0.0601715962054,0.449293770833,SCN2B
NTC_1248,0.484003333333,0.118370344988,0.448553519126,NTC
NTC_755,0.367936666667,0.0658542537165,0.434686326602,NTC
PHKA2,0.321203333333,0.0451789350107,0.432039043811,PHKA2
NPR3,0.58812,0.185500783276,0.430300498827,NPR3
PLCL1,0.25574,0.0207991323283,0.43014311595,PLCL1
CHRNA2,0.3557,0.0618751866192,0.429857573195,CHRNA2
NTC_2440,0.411213333333,0.0919690604714,0.426164330558,NTC
GSK3B,0.132646666667,0.000663707711885,0.421554175592,GSK3B
NTC_1401,0.403863333333,0.0907845467849,0.420820775313,NTC
CLC,0.191256666667,0.00654800700256,0.417683687169,CLC
NTC_553,0.395096666667,0.0884523397573,0.416151634552,NTC
RNGTT,0.273596666667,0.030982467691,0.412825631288,RNGTT
AMY2A,0.274156666667,0.0314663124726,0.411825574293,AMY2A
MELK,0.334343333333,0.0601715962054,0.408102303747,MELK
SPEG_P2,0.292063333333,0.0425934529223,0.400318696542,SPEG
NTC_740,0.269163333333,0.033724459853,0.396223229968,NTC
NTC_2486,0.21018,0.0135486427351,0.39263814265,NTC
MAP4K4,0.39058,0.101253746072,0.388466532671,MAP4K4
NTC_680,0.327216666667,0.0686225408238,0.380727457144,NTC
NTC_1292,0.2704,0.0398352675271,0.378487603601,NTC
GSTM4,0.37987,0.101253746072,0.377814485549,GSTM4
ACVR1B,0.161513333333,0.00474386544679,0.37533560838,ACVR1B
AARS,0.60778,0.243966324134,0.372368643903,AARS
NTC_1705,0.34974,0.0861686692334,0.372350905787,NTC
ACP2,0.30127,0.0593344938829,0.369565727133,ACP2
NARS,0.210016666667,0.0194755563346,0.35923563528,NARS
PFN1,0.45117,0.160244522879,0.358777966202,PFN1
CDK17,0.36872,0.106502369994,0.358632089145,CDK17
NTC_56,0.285813333333,0.0564801615772,0.35672478446,NTC
NTC_1034,0.317893333333,0.076474838185,0.354922004429,NTC
NR1I2,0.518496666667,0.206847493168,0.354833058013,NR1I2
NTC_1672,0.334993333333,0.0884523397573,0.352845354042,NTC
NTC_594,0.29627,0.064952201513,0.35179281242,NTC
NTC_955,0.359423333333,0.105834406774,0.350571858097,NTC
PTPRA,0.459856666667,0.173500428153,0.34981271302,PTPRA
NTC_2079,0.415636666667,0.145194386517,0.348324380795,NTC
NTC_1661,0.36893,0.114068375418,0.347840021996,NTC
PON1,0.30109,0.0700424033993,0.347650244519,PON1
RBP3,0.169215,0.00911016395265,0.345278775269,RBP3
ADH1C,0.331903333333,0.0913755608235,0.344903968484,ADH1C
NTC_852,0.37371,0.119832276832,0.34434618107,NTC
NTC_1838,0.297523333333,0.0705206672601,0.342652739779,NTC
ATR,0.759573333333,0.355947296142,0.340755460535,ATR
SLCO2B1,0.288863333333,0.0663093886132,0.340403766754,SLCO2B1
NTC_125,0.40455,0.148634249373,0.334919301345,NTC
NTC_1030,0.314043333333,0.0861686692334,0.334346427698,NTC
NTC_273,0.36625,0.124303012643,0.331646094057,NTC
MGST2,0.331463333333,0.101253746072,0.329669752183,MGST2
KCND3,0.39565,0.149504239209,0.326548339836,KCND3
