id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PTEN	5	6.1503e-12	1.7481e-06	0.00165	1	5	-0.90965	1.0	1.0	0.999998	2832	0	-0.90965
TAOK1	5	8.6809e-11	1.7481e-06	0.00165	2	5	-0.6561	1.0	1.0	0.999998	2831	0	-0.6561
IBTK_P1	5	5.8105e-07	1.7481e-06	0.00165	3	5	-0.6918	0.99998	0.99998	0.999998	2830	0	-0.6918
CDK10	5	2.0138e-06	1.5733e-05	0.011139	4	3	-0.62633	0.014706	0.051475	0.580786	248	1	-0.62633
LATS2	5	7.2624e-06	3.3213e-05	0.018812	5	3	-0.67446	0.81221	0.84004	0.999998	2190	1	-0.67446
GSK3A	5	8.872e-06	4.3701e-05	0.020627	6	5	-0.56554	0.99987	0.99988	0.999998	2827	0	-0.56554
CHEK2	5	1.4316e-05	7.167e-05	0.028996	7	4	-0.44892	0.1283	0.27744	0.999998	641	1	-0.44892
GSK3B	5	1.8761e-05	0.00012062	0.037129	8	4	-0.43824	0.19727	0.37416	0.999998	849	1	-0.43824
CLK3_P2	5	2.2388e-05	0.0001311	0.037129	9	3	-0.14228	0.32968	0.52641	0.999998	1198	1	-0.14228
TGFBR2	5	2.2713e-05	0.0001311	0.037129	10	5	-0.40394	0.99947	0.9995	0.999998	2821	0	-0.40394
RXRA	5	2.9271e-05	0.00014509	0.037354	11	4	-0.49009	0.2123	0.39465	0.999998	884	1	-0.49009
NUCKS1	5	3.5001e-05	0.00016956	0.040017	12	5	-0.56619	0.99982	0.99983	0.999998	2825	0	-0.56619
SI	5	4.4173e-05	0.00020452	0.044554	13	5	-0.28944	0.99995	0.99995	0.999998	2829	0	-0.28944
LIPF	5	6.7322e-05	0.00028843	0.058345	14	5	-0.28743	0.99993	0.99993	0.999998	2828	0	-0.28743
PLEKHA1	5	7.1783e-05	0.00030941	0.058416	15	5	-0.59998	0.99976	0.99977	0.999998	2824	0	-0.59998
CHD1	5	0.00016764	0.00073943	0.115946	16	3	-0.12843	0.44835	0.61595	0.999998	1436	2	-0.12843
ACVR2B	5	0.00016858	0.00074992	0.115946	17	5	-0.38616	0.99983	0.99984	0.999998	2826	0	-0.38616
ACVR1B	5	0.00016922	0.00074992	0.115946	18	4	-0.53699	0.38026	0.56421	0.999998	1294	1	-0.53699
ATP5A1_P2	5	0.00017394	0.00077788	0.115946	19	3	-0.12558	0.98173	0.98212	0.999998	2732	0	-0.12558
MARK2_P2	5	0.00023171	0.001089	0.153937	20	4	-0.49626	0.89805	0.89883	0.999998	2400	1	-0.49626
PTGFR_P2	5	0.0002436	0.0011415	0.153937	21	5	-0.33332	0.99972	0.99973	0.999998	2823	0	-0.33332
MAP3K19	5	0.00029667	0.0013827	0.177993	22	5	-0.22428	0.9997	0.99971	0.999998	2822	0	-0.22428
CRYBB1	5	0.00032036	0.0015086	0.181461	23	4	-0.34248	0.98919	0.98939	0.999998	2773	0	-0.34248
ILKAP	5	0.00034198	0.0016274	0.181461	24	4	-0.45782	0.79215	0.82952	0.999998	2149	1	-0.45782
ENST00000340677.5	5	0.00038417	0.0017953	0.181461	25	3	0.0	0.6712	0.7793	0.999998	1943	1	0.0
ENST00000407249.3	5	0.00038417	0.0017953	0.181461	26	3	0.0	0.6712	0.7793	0.999998	1945	1	0.0
CDK11B_ENST00000341832.6	5	0.00038417	0.0017953	0.181461	27	4	-0.17853	0.69256	0.78689	0.999998	1985	1	-0.17853
CDK11B_ENST00000317673.7	5	0.00038417	0.0017953	0.181461	28	3	0.0	0.6712	0.7793	0.999998	1944	1	0.0
PFN1	5	0.00039686	0.0018582	0.181461	29	4	-0.27118	0.93013	0.93028	0.999998	2528	0	-0.27118
NRIP1	5	0.00045302	0.0020749	0.195875	30	4	-0.38288	0.93345	0.93345	0.999998	2542	0	-0.38288
PPP3CC	5	0.00053664	0.00247	0.223546	31	4	-0.47209	0.39608	0.57581	0.999998	1327	1	-0.47209
PTPN12	5	0.00055301	0.0025259	0.223546	32	5	-0.48236	0.99854	0.99848	0.999998	2815	0	-0.48236
TMPRSS15	5	0.00058945	0.0026798	0.229973	33	4	-0.25105	0.79584	0.83138	0.999998	2155	1	-0.25105
SPEG_P2	5	0.00072311	0.0032147	0.257563	34	5	-0.27219	0.99928	0.99927	0.999998	2820	0	-0.27219
SCN3A	5	0.00074219	0.0032741	0.257563	35	5	-0.27702	0.99926	0.99924	0.999998	2819	0	-0.27702
CHRNA5	5	0.00079547	0.0035433	0.271207	36	5	-0.18192	0.9992	0.99919	0.999998	2818	0	-0.18192
SLC16A1_P2	4	0.00081803	0.0031482	0.257563	37	3	-0.19464	0.84881	0.84964	0.999998	2271	1	-0.19464
ARF6_P1	5	0.000842	0.0037251	0.277619	38	4	-0.38964	0.98695	0.98711	0.999998	2761	0	-0.38964
CDK17	5	0.00096071	0.0041656	0.299381	39	4	-0.28848	0.98833	0.98858	0.999998	2767	0	-0.28848
MELK	5	0.00097844	0.0042285	0.299381	40	5	-0.29662	0.99902	0.999	0.999998	2817	0	-0.29662
GSTM4	5	0.0010366	0.0044838	0.309708	41	4	-0.36553	0.98773	0.988	0.999998	2765	0	-0.36553
ATM	5	0.0011835	0.0051061	0.344295	42	5	-0.27585	0.99788	0.9978	0.999998	2811	0	-0.27585
EPHA1	5	0.0012994	0.005613	0.358966	43	5	-0.209	0.9987	0.99869	0.999998	2816	0	-0.209
